portfolio,ann_return_%,ann_vol_%,sharpe,tracking_error_%,active_return_%
Equal-Weight S&P 500,17.72,15.44,1.15,7.27,-2.36
IT-Overweight Portfolio,19.1,16.03,1.19,6.53,-1.07
