ticker,weight_%,act_alpha_%,mkt_beta
FOX,0.404,16.88,0.783
APP,0.3981,63.84,2.001
MO,0.371,26.97,0.106
EQT,0.3625,6.81,0.873
UHS,0.3569,0.7,0.74
LITE,0.3545,120.44,2.163
LLY,0.3515,8.26,0.583
CNP,0.3478,16.59,0.223
VZ,0.3472,13.87,0.236
VRSN,0.3468,1.82,0.443
GL,0.3434,22.57,0.901
FOXA,0.3334,17.48,0.763
CHRW,0.3264,40.09,0.765
STE,0.3207,1.79,0.578
MMM,0.3161,14.91,1.06
KEYS,0.3119,20.27,1.238
AXON,0.3119,12.83,0.832
KIM,0.3094,4.75,0.714
XOM,0.2985,2.08,0.646
CVNA,0.2964,45.34,2.083
NI,0.2885,20.22,0.402
AME,0.2857,0.95,0.809
HOOD,0.2857,34.59,2.231
T,0.2829,24.43,0.248
DD,0.2748,6.28,1.256
EXPE,0.2727,2.72,1.439
TKO,0.2681,32.67,0.68
FE,0.2632,13.71,0.163
RCL,0.249,19.65,1.572
TPR,0.2275,58.38,1.135
ETR,0.225,28.11,0.419
LII,0.2236,0.14,0.997
PODD,0.2214,7.13,0.685
HAS,0.208,22.11,0.916
SRE,0.2076,2.25,0.684
CBOE,0.2051,25.52,-0.153
ULTA,0.2019,14.66,0.791
DRI,0.1994,7.61,0.692
VRTX,0.1976,2.81,0.396
GRMN,0.197,13.84,1.099
SYY,0.1771,1.42,0.457
WRB,0.1766,3.8,0.438
CCL,0.1756,13.78,1.696
TPL,0.1696,28.49,1.427
TRV,0.1677,5.86,0.625
KR,0.1609,8.98,0.01
NEE,0.157,12.37,0.377
LH,0.1218,8.63,0.569
CF,0.1189,4.92,0.434
IVZ,0.117,3.88,1.547
EVRG,0.1118,20.81,0.226
UAL,0.1,2.05,1.935
WSM,0.0933,6.71,1.336
SO,0.0817,13.42,0.085
ABBV,0.0783,11.53,0.359
FAST,0.0758,4.34,0.771
GILD,0.0725,37.79,0.341
SNA,0.0701,8.4,0.801
ROK,0.0686,0.75,1.221
WBD,0.0548,41.61,1.394
PPL,0.0492,13.36,0.231
TDY,0.0475,11.26,0.781
PLD,0.029,4.99,0.867
DE,0.029,13.64,0.767
STT,0.0206,6.68,1.196
ALB,0.0184,2.18,1.47
FDX,0.0146,3.86,1.044
EXC,0.0126,12.33,0.078
ATO,0.0112,18.26,0.267
NOC,0.0111,19.59,0.099
