Date,portfolio_return,spy_return,active_return
2024-04-26,0.010375246344026156,0.009473948179165692,0.0009012981648604639
2024-04-29,0.0031576746384746487,0.0035414297461646704,-0.0003837551076900218
2024-04-30,-0.0159701649152838,-0.01584121643362124,-0.00012894848166255732
2024-05-01,-0.0032612369291952414,-0.0032471511531020347,-1.408577609320668e-05
2024-05-02,0.009508986500428073,0.009353469116733182,0.00015551738369489095
2024-05-03,0.012726830176586289,0.012395296652984111,0.0003315335236021774
2024-05-06,0.010398447550259881,0.010326794652302018,7.165289795786275e-05
2024-05-07,0.0011833241004199943,0.0011035533133769704,7.977078704302391e-05
2024-05-08,-0.0002380647236822954,9.647562920434005e-05,-0.0003345403528866354
2024-05-09,0.0051976852101879795,0.00576198905336911,-0.0005643038431811303
2024-05-10,0.001711642235218981,0.0012881037483014612,0.00042353848691751976
2024-05-13,-9.284124351391517e-05,0.00013426244304337587,-0.00022710368655729104
2024-05-14,0.005002878293393686,0.004588194592596295,0.0004146837007973905
2024-05-15,0.012039774882601223,0.012383027069566177,-0.0003432521869649544
2024-05-16,-0.0018652875066936493,-0.002057544692443347,0.0001922571857496979
2024-05-17,0.0011039136275250684,0.0014375154397507917,-0.0003336018122257233
2024-05-20,0.0010765918996862942,0.0011520458437725978,-7.545394408630356e-05
2024-05-21,0.002358988727437984,0.0024524163177215286,-9.342759028354436e-05
2024-05-22,-0.002683859723929107,-0.0028790578048304427,0.0001951980809013357
2024-05-23,-0.006802692307646805,-0.007304272633687048,0.0005015803260402431
2024-05-24,0.0069858196059579165,0.0066165101077051425,0.00036930949825277407
2024-05-28,0.0007760330406867523,0.0006988453582048582,7.718768248189418e-05
2024-05-29,-0.007106358046313168,-0.007002454045067719,-0.0001039040012454492
2024-05-30,-0.006263638354855458,-0.006633881698410615,0.00037024334355515755
2024-05-31,0.008302986386725362,0.009108137100940938,-0.0008051507142155766
2024-06-03,0.001810247941832233,0.000815398053666927,0.000994849888165306
