Date,it_cs_5pp_return,nport_base_return,spy_return,active
2024-04-26,0.010032157557724745,0.010062137082742263,0.009473948179165692,0.0005582093785590526
2024-04-29,0.0031507865524581413,0.003158787182795721,0.0035414297461646704,-0.0003906431937065291
2024-04-30,-0.01595902277513197,-0.015579587956692065,-0.01584121643362124,-0.0001178063415107275
2024-05-01,-0.0032235035976082805,-0.003252332560077032,-0.0032471511531020347,2.3647555493754198e-05
2024-05-02,0.009284923293636447,0.00909262186905201,0.009353469116733182,-6.854582309673458e-05
2024-05-03,0.012658999573285992,0.012612916367272298,0.012395296652984111,0.0002637029203018809
2024-05-06,0.010755733096372865,0.010469746632294795,0.010326794652302018,0.0004289384440708463
2024-05-07,0.0007197898905563641,0.0013182994561209316,0.0011035533133769704,-0.0003837634228206063
2024-05-08,-0.00020118205736714562,-0.0001854820182011206,9.647562920434005e-05,-0.00029765768657148564
2024-05-09,0.005014432195668443,0.0051976683658248165,0.00576198905336911,-0.0007475568577006665
2024-05-10,0.002035806415761822,0.0017426237490962406,0.0012881037483014612,0.0007477026674603607
2024-05-13,0.00012002516624121677,-0.00010874213676215687,0.00013426244304337587,-1.4237276802159094e-05
2024-05-14,0.005033378199431824,0.004915739998869465,0.004588194592596295,0.0004451836068355289
2024-05-15,0.011973700291751141,0.011822564433925278,0.012383027069566177,-0.0004093267778150361
2024-05-16,-0.0015989119891881216,-0.0017694275300583066,-0.002057544692443347,0.0004586327032552256
2024-05-17,0.0009304376795818657,0.0011631542277471157,0.0014375154397507917,-0.0005070777601689259
2024-05-20,0.0017633641777619483,0.0010509317387141198,0.0011520458437725978,0.0006113183339893505
2024-05-21,0.001985014714276041,0.002413728064102029,0.0024524163177215286,-0.0004674016034454877
2024-05-22,-0.0019160440203529916,-0.00256552217890777,-0.0028790578048304427,0.0009630137844774511
2024-05-23,-0.007413577692745644,-0.006957575487492587,-0.007304272633687048,-0.0001093050590585962
2024-05-24,0.007205072786326659,0.0069482895247032096,0.0066165101077051425,0.0005885626786215166
2024-05-28,0.00038920875998941156,0.0004937893128978359,0.0006988453582048582,-0.0003096365982154466
2024-05-29,-0.007231069734772238,-0.00724851031351498,-0.007002454045067719,-0.00022861568970451978
2024-05-30,-0.005876394857505827,-0.006110949373995166,-0.006633881698410615,0.0007574868409047884
2024-05-31,0.00798929738606772,0.008268988955166728,0.009108137100940938,-0.0011188397148732179
2024-06-03,0.0014599998878804445,0.001594366961531697,0.000815398053666927,0.0006446018342135176
2024-06-04,0.0015689671209874957,0.0017471943789114928,0.00111774169742751,0.0004512254235599857
2024-06-05,0.012346962859965392,0.01203918511575794,0.011885286538725115,0.00046167632124027684
