,Close
2024-04-22,487.8472595214844
2024-04-23,493.6363830566406
2024-04-24,493.402099609375
2024-04-25,491.5276794433594
2024-04-26,496.18438720703125
2024-04-29,497.94158935546875
2024-04-30,490.0535888671875
2024-05-01,488.46234130859375
2024-05-02,493.0311279296875
2024-05-03,499.14239501953125
2024-05-06,504.2969665527344
2024-05-07,504.85345458984375
2024-05-08,504.9022216796875
2024-05-09,507.8113708496094
2024-05-10,508.46551513671875
2024-05-13,508.53375244140625
2024-05-14,510.8670349121094
2024-05-15,517.193115234375
2024-05-16,516.1289672851562
2024-05-17,516.8709716796875
2024-05-20,517.4664306640625
2024-05-21,518.7354736328125
2024-05-22,517.2420043945312
2024-05-23,513.4638061523438
2024-05-24,516.8612060546875
2024-05-28,517.222412109375
2024-05-29,513.6005249023438
2024-05-30,510.1933898925781
2024-05-31,514.84033203125
2024-06-03,515.2601318359375
2024-06-04,515.8361206054688
2024-06-05,521.9668579101562
2024-06-06,521.9572143554688
2024-06-07,521.3225708007812
2024-06-10,522.9334106445312
2024-06-11,524.1926879882812
2024-06-12,528.4979858398438
2024-06-13,529.56201171875
2024-06-14,529.8842163085938
2024-06-17,534.1015625
2024-06-18,535.4585571289062
2024-06-20,534.00390625
2024-06-21,533.2880859375
2024-06-24,531.5545043945312
2024-06-25,533.6015014648438
2024-06-26,534.2673950195312
2024-06-27,535.1096801757812
2024-06-28,533.0040283203125
2024-07-01,534.1009521484375
2024-07-02,537.6952514648438
2024-07-03,540.0948486328125
2024-07-05,543.2093505859375
2024-07-08,543.8360595703125
2024-07-09,544.364990234375
2024-07-10,549.7515869140625
2024-07-11,545.0112915039062
2024-07-12,548.4490356445312
2024-07-15,549.9573364257812
2024-07-16,553.2186279296875
2024-07-17,545.4619140625
2024-07-18,541.2700805664062
2024-07-19,537.6756591796875
2024-07-22,543.2190551757812
2024-07-23,542.3670043945312
2024-07-24,530.0756225585938
2024-07-25,527.3136596679688
2024-07-26,533.219482421875
2024-07-29,533.5328369140625
2024-07-30,530.8297729492188
2024-07-31,539.4581909179688
2024-08-01,531.8189086914062
2024-08-02,521.9172973632812
2024-08-05,506.7171936035156
2024-08-06,511.3888244628906
2024-08-07,507.97076416015625
2024-08-08,519.7136840820312
2024-08-09,522.0054321289062
2024-08-12,522.2797241210938
2024-08-13,530.868896484375
2024-08-14,532.543701171875
2024-08-15,541.671630859375
2024-08-16,542.8860473632812
