Date,nport_base_return,it_20pp_return,spy_return,active_base,active_it20
2024-04-26,0.010375246344026156,0.010570699712541747,0.009473948179165692,0.0009012981648604639,0.001096751533376055
2024-04-29,0.0031576746384746487,0.003648606276887107,0.0035414297461646704,-0.0003837551076900218,0.00010717653072243654
2024-04-30,-0.0159701649152838,-0.016561879229346696,-0.01584121643362124,-0.00012894848166255732,-0.0007206627957254547
2024-05-01,-0.0032612369291952414,-0.005597802799933703,-0.0032471511531020347,-1.408577609320668e-05,-0.0023506516468316686
2024-05-02,0.009508986500428073,0.009428517780611918,0.009353469116733182,0.00015551738369489095,7.504866387873614e-05
2024-05-03,0.012726830176586289,0.013243306214709715,0.012395296652984111,0.0003315335236021774,0.0008480095617256038
2024-05-06,0.010398447550259881,0.011300720013197516,0.010326794652302018,7.165289795786275e-05,0.000973925360895498
2024-05-07,0.0011833241004199943,0.00019401650328622883,0.0011035533133769704,7.977078704302391e-05,-0.0009095368100907415
2024-05-08,-0.0002380647236822954,0.00032862989182372293,9.647562920434005e-05,-0.0003345403528866354,0.00023215426261938288
2024-05-09,0.0051976852101879795,0.0038685818486702294,0.00576198905336911,-0.0005643038431811303,-0.0018934072046988804
2024-05-10,0.001711642235218981,0.002290321087121885,0.0012881037483014612,0.00042353848691751976,0.0010022173388204237
2024-05-13,-9.284124351391517e-05,0.000482721930354081,0.00013426244304337587,-0.00022710368655729104,0.00034845948731070515
2024-05-14,0.005002878293393686,0.005716008537536631,0.004588194592596295,0.0004146837007973905,0.0011278139449403361
2024-05-15,0.012039774882601223,0.014031833256494507,0.012383027069566177,-0.0003432521869649544,0.0016488061869283296
2024-05-16,-0.0018652875066936493,-0.0018970053563398255,-0.002057544692443347,0.0001922571857496979,0.00016053933610352166
2024-05-17,0.0011039136275250684,0.0007326826653508645,0.0014375154397507917,-0.0003336018122257233,-0.0007048327743999272
2024-05-20,0.0010765918996862942,0.0027899941089512097,0.0011520458437725978,-7.545394408630356e-05,0.0016379482651786119
2024-05-21,0.002358988727437984,0.0016460742150408419,0.0024524163177215286,-9.342759028354436e-05,-0.0008063421026806867
2024-05-22,-0.002683859723929107,-0.0007740095213574216,-0.0028790578048304427,0.0001951980809013357,0.002105048283473021
2024-05-23,-0.006802692307646805,-0.007436129062518353,-0.007304272633687048,0.0005015803260402431,-0.00013185642883130518
