Date,port_return,spy_return,active_return
2025-10-28,0.0031298376606255186,0.002655998956591077,0.0004738387040344417
2025-10-29,0.0017234595246477166,0.0004803870398957244,0.0012430724847519922
2025-10-30,-0.009222831564494119,-0.010998143937076876,0.0017753123725827574
2025-10-31,0.002196273034596953,0.0032800997320787673,-0.0010838266974818145
2025-11-03,0.0019674168355991602,0.0018767772528909266,9.063958270823366e-05
2025-11-04,-0.012714328068713752,-0.011853539942447533,-0.0008607881262662192
2025-11-05,0.004262979576438001,0.003465389196996238,0.0007975903794417627
2025-11-06,-0.011100869026496703,-0.010729333212666003,-0.0003715358138307
2025-11-07,0.00036907780074526886,0.0009845075813768034,-0.0006154297806315345
2025-11-10,0.01705019826811023,0.015604343307994428,0.0014458549601158027
2025-11-11,0.001391239411437196,0.0022892399865568347,-0.0008980005751196387
2025-11-12,0.00032986457569443616,0.0005564884786124491,-0.00022662390291801294
2025-11-13,-0.017558416471237754,-0.016594019980226582,-0.000964396491011172
2025-11-14,-0.0001736742150423137,-0.00016376876033719068,-9.905454705123022e-06
2025-11-17,-0.007805137742059831,-0.009316433429244597,0.0015112956871847659
2025-11-18,-0.008231628691746689,-0.00839755277010068,0.00016592407835399128
2025-11-19,0.005497286066798213,0.00386320014283692,0.0016340859239612933
2025-11-20,-0.015591117811611795,-0.015242245459799575,-0.00034887235181222005
2025-11-21,0.010043094779028157,0.009961222976632822,8.187180239533492e-05
2025-11-24,0.0185987980316334,0.014718507062180475,0.0038802909694529257
2025-11-25,0.00904470584909882,0.009405991442055894,-0.0003612855929570752
2025-11-26,0.006793698486145485,0.006903483450626968,-0.00010978496448148332
2025-11-28,0.005005947242411228,0.005458406338614941,-0.0004524590962037122
2025-12-01,-0.005895981634409744,-0.004565505423429594,-0.0013304762109801497
2025-12-02,0.002349283787083491,0.001852299674079072,0.000496984113004419
2025-12-03,0.0031524366614308066,0.0034627677932603795,-0.00031033113182957293
2025-12-04,0.0010785184923870611,0.0007310561539983773,0.0003474623383886838
2025-12-05,0.0026431553884869777,0.0018995368427094927,0.000743618545777485
2025-12-08,-0.0033298301086961846,-0.0030042775146746914,-0.00032555259402149324
2025-12-09,-0.00025831665432064966,-0.0008630551776172002,0.0006047385232965505
2025-12-10,0.006869883967583153,0.006632177546088913,0.00023770642149423954
2025-12-11,0.0006308809432786847,0.002326948130527251,-0.0016960671872485664
2025-12-12,-0.01251412399883876,-0.01075196892753394,-0.001762155071304821
2025-12-15,-0.00218300348974667,-0.0015108877827512135,-0.0006721157069954566
2025-12-16,-0.0022634608456300674,-0.00273229759527871,0.00046883674964864246
2025-12-17,-0.01306447177296304,-0.011003620102041367,-0.002060851670921673
2025-12-18,0.008474852297060347,0.0075513325776148665,0.00092351971944548
2025-12-19,0.009745637009707937,0.009063445479451815,0.0006821915302561224
2025-12-22,0.006676854384583516,0.006229892278320159,0.000446962106263357
2025-12-23,0.005480455079071315,0.004570454818432879,0.0009100002606384364
2025-12-24,0.0029929226547214874,0.0035176203055324873,-0.0005246976508109999
2025-12-26,-5.366306616504615e-05,-0.00010141503224314619,4.7751966078100036e-05
2025-12-29,-0.003516153711156524,-0.003563628207054803,4.747449589827908e-05
2025-12-30,-0.0012459098902201649,-0.0012211007345822589,-2.4809155637905977e-05
2025-12-31,-0.007118944746662954,-0.007408967373390696,0.0002900226267277418
2026-01-02,0.002411496124990339,0.0018330397334518356,0.0005784563915385036
2026-01-05,0.005937197985304447,0.006660113816063129,-0.0007229158307586817
2026-01-06,0.005639556711513569,0.005947183373089304,-0.00030762666157573525
2026-01-07,-0.0024232505933903335,-0.0032233567922274053,0.0008001061988370719
2026-01-08,-0.0003588969517282965,-0.00010153268198576093,-0.00025736426974253554
2026-01-09,0.00692323061350255,0.006613342394092614,0.0003098882194099359
2026-01-12,0.0021725047868441966,0.0015704538117717881,0.0006020509750724085
2026-01-13,-0.0013330178361370165,-0.0019994751058702853,0.0006664572697332688
2026-01-14,-0.00580387507563181,-0.0049152373416185835,-0.0008886377340132263
2026-01-15,0.002597106568472207,0.0027232143965294497,-0.00012610782805724287
2026-01-16,-0.0005038672526383551,-0.0008378739908954103,0.0003340067382570552
2026-01-20,-0.02150966576196752,-0.020356785723545046,-0.0011528800384224755
2026-01-21,0.011768699367460481,0.011541079202094462,0.00022762016536601905
2026-01-22,0.005381946450857093,0.005223230019727687,0.0001587164311294062
2026-01-23,0.00015990966411060393,0.0003627802397405677,-0.0002028705756299638
2026-01-26,0.005299701446834011,0.005078147060609828,0.00022155438622418339
2026-01-27,0.004441070250827687,0.003984264729684606,0.0004568055211430812
