ticker,company,sector,sub_industry,status
BIO,"Bio-Rad Laboratories, Inc.",Health Care,Medical Devices,historical
BWA,BorgWarner Inc.,Consumer Discretionary,Auto Parts,historical
CE,Celanese Corporation,Materials,Chemicals,historical
CZR,"Caesars Entertainment, Inc.",Consumer Discretionary,Resorts & Casinos,historical
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,historical
ENPH,"Enphase Energy, Inc.",Information Technology,Solar,historical
ETSY,"Etsy, Inc.",Consumer Discretionary,Internet Retail,historical
FMC,FMC Corporation,Materials,Agricultural Inputs,historical
ILMN,"Illumina, Inc.",Health Care,Diagnostics & Research,historical
KMX,"CarMax, Inc.",Consumer Discretionary,Auto & Truck Dealerships,historical
LKQ,LKQ Corporation,Consumer Discretionary,Auto Parts,historical
LW,"Lamb Weston Holdings, Inc.",Consumer Staples,Packaged Foods,historical
MHK,"Mohawk Industries, Inc.",Consumer Discretionary,"Furnishings, Fixtures & Appliances",historical
MKTX,MarketAxess Holdings Inc.,Financials,Capital Markets,historical
MOH,"Molina Healthcare, Inc.",Health Care,Healthcare Plans,historical
MTCH,MTCH,Communication Services,Internet Content & Information,historical
PAYC,"Paycom Software, Inc.",Information Technology,Software - Application,historical
QRVO,"Qorvo, Inc.",Information Technology,Semiconductors,historical
RHI,Robert Half Inc.,Industrials,Staffing & Employment Services,historical
TFX,Teleflex Incorporated,Health Care,Medical Instruments & Supplies,historical
VFC,V.F. Corporation,Consumer Discretionary,Apparel Manufacturing,historical
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical Instruments & Supplies,historical
