Date,nport_base_return,it_overweight_return,spy_return,active_base,active_it
2024-04-26,0.010375246344026156,0.010398240857969178,0.009473948179165692,0.0009012981648604639,0.0009242926788034858
2024-04-29,0.0031576746384746487,0.0032154313018172924,0.0035414297461646704,-0.0003837551076900218,-0.000325998444347378
2024-04-30,-0.0159701649152838,-0.01603977836399711,-0.01584121643362124,-0.00012894848166255732,-0.00019856193037586997
2024-05-01,-0.0032612369291952414,-0.0035361270316350618,-0.0032471511531020347,-1.408577609320668e-05,-0.00028897587853302705
2024-05-02,0.009508986500428073,0.0094995195922144,0.009353469116733182,0.00015551738369489095,0.00014605047548121863
2024-05-03,0.012726830176586289,0.012787592063424358,0.012395296652984111,0.0003315335236021774,0.00039229541044024686
2024-05-06,0.010398447550259881,0.010504597251781959,0.010326794652302018,7.165289795786275e-05,0.00017780259947994086
2024-05-07,0.0011833241004199943,0.0010669349713454354,0.0011035533133769704,7.977078704302391e-05,-3.661834203153502e-05
2024-05-08,-0.0002380647236822954,-0.0001713947689168818,9.647562920434005e-05,-0.0003345403528866354,-0.0002678703981212219
2024-05-09,0.0051976852101879795,0.005041320108832955,0.00576198905336911,-0.0005643038431811303,-0.0007206689445361548
2024-05-10,0.001711642235218981,0.0017797221001487357,0.0012881037483014612,0.00042353848691751976,0.0004916183518472745
2024-05-13,-9.284124351391517e-05,-2.512792894120996e-05,0.00013426244304337587,-0.00022710368655729104,-0.00015939037198458582
2024-05-14,0.005002878293393686,0.00508677596917521,0.004588194592596295,0.0004146837007973905,0.0004985813765789144
2024-05-15,0.012039774882601223,0.01227413469129455,0.012383027069566177,-0.0003432521869649544,-0.00010889237827162689
2024-05-16,-0.0018652875066936493,-0.0018690190184167317,-0.002057544692443347,0.0001922571857496979,0.0001885256740266155
2024-05-17,0.0011039136275250684,0.0010602393966810458,0.0014375154397507917,-0.0003336018122257233,-0.00037727604306974586
2024-05-20,0.0010765918996862942,0.0012781686301880464,0.0011520458437725978,-7.545394408630356e-05,0.0001261227864154486
2024-05-21,0.002358988727437984,0.0022751164318618525,0.0024524163177215286,-9.342759028354436e-05,-0.0001772998858596761
2024-05-22,-0.002683859723929107,-0.0024591714648030246,-0.0028790578048304427,0.0001951980809013357,0.00041988634002741807
2024-05-23,-0.006802692307646805,-0.006877214278808172,-0.007304272633687048,0.0005015803260402431,0.00042705835487887554
2024-05-24,0.0069858196059579165,0.006974443643182149,0.0066165101077051425,0.00036930949825277407,0.00035793353547700687
2024-05-28,0.0007760330406867523,0.0007252658354946592,0.0006988453582048582,7.718768248189418e-05,2.6420477289801087e-05
2024-05-29,-0.007106358046313168,-0.007159390130610171,-0.007002454045067719,-0.0001039040012454492,-0.00015693608554245234
2024-05-30,-0.006263638354855458,-0.006397303004689159,-0.006633881698410615,0.00037024334355515755,0.00023657869372145646
2024-05-31,0.008302986386725362,0.008089040427022173,0.009108137100940938,-0.0008051507142155766,-0.0010190966739187651
2024-06-03,0.001810247941832233,0.0017082035703484114,0.000815398053666927,0.000994849888165306,0.0008928055166814845
2024-06-04,0.0018166747618555221,0.0017486445585905847,0.00111774169742751,0.0006989330644280121,0.0006309028611630747
2024-06-05,0.01215608141396356,0.01237461401542671,0.011885286538725115,0.0002707948752384455,0.0004893274767015943
2024-06-06,0.00012021489670336886,5.607775945088546e-05,-1.8709279545392477e-05,0.00013892417624876134,7.478703899627793e-05
2024-06-07,-0.0009114774526904432,-0.0009551089187102077,-0.0012156581825512047,0.0003041807298607615,0.000260549263840997
2024-06-10,0.00247802487027287,0.0026480656041519106,0.0030897925971888895,-0.0006117677269160196,-0.00044172699303697896
2024-06-11,0.002744994276837508,0.002763448667531153,0.0024081026725715216,0.0003368916042659864,0.0003553459949596316
2024-06-12,0.008820852818724922,0.008995391230092267,0.008213080638207026,0.0006077721805178952,0.0007823105918852401
2024-06-13,0.0025028069738275652,0.0024932298788074726,0.0020135328811594633,0.000489274092668102,0.0004796969976480093
2024-06-14,0.0003827165160963424,0.00031925545486242345,0.0006085511814017952,-0.00022583466530545283,-0.00028929572653937176
2024-06-17,0.007671688723301135,0.007756685195214272,0.00795864829453019,-0.0002869595712290552,-0.00020196309931591865
2024-06-18,0.0024453579006961123,0.002546385604969548,0.0025407055123127797,-9.534761161666743e-05,5.6800926567682035e-06
2024-06-20,-0.002904895365215542,-0.003032035121399412,-0.00271641746130602,-0.00018847790390952215,-0.0003156176600933921
2024-06-21,-0.001674732621970205,-0.0016171560909669861,-0.0013407061120768171,-0.0003340265098933878,-0.000276449978890169
2024-06-24,-0.003450319869405992,-0.003596732087120815,-0.003250512653033333,-0.00019980721637265914,-0.00034621943408748215
2024-06-25,0.004222637168252652,0.00426550272047238,0.0038508483762180745,0.0003717887920345773,0.00041465434425430516
2024-06-26,0.0021517296062864262,0.002018975496171771,0.001248037323762441,0.0009036922825239853,0.00077093817240933
2024-06-27,0.0007356920067963191,0.0008731392453089045,0.0015762949369151347,-0.0008406029301188156,-0.0007031556916062302
2024-06-28,-0.003946986628697234,-0.0038225614337905945,-0.003934877537230652,-1.2109091466581436e-05,0.00011231610344005763
2024-07-01,0.003051599707670921,0.0030135891594426285,0.0020578883736119824,0.0009937113340589385,0.0009557007858306461
2024-07-02,0.006103115694189102,0.006119420077035378,0.006729854689488501,-0.0006267389952993993,-0.0006104346124531238
2024-07-03,0.005094399106733569,0.0050960549332632,0.004462518162005047,0.0006318809447285224,0.0006335367712581533
2024-07-05,0.0058290017731827464,0.0057769116636816435,0.005766470977847771,6.253079533497571e-05,1.0440685833872781e-05
