Date,spy_close,port_close,spy_ret,port_ret,active_ret
2024-04-25,491.5277099609375,491.5277099609375,,,
2024-04-26,496.1843872070313,496.3976856270846,0.009473885503757051,0.009907835443365282,0.00043394993960823094
2024-04-29,497.9416198730469,497.6264173183994,0.00354149125067571,0.002475296978394538,-0.0010661942722811723
2024-04-30,490.0536193847656,490.2068044443978,-0.015841215462753078,-0.014910006012109055,0.0009312094506440226
2024-05-01,488.4622802734375,489.17542107757544,-0.003247275498803548,-0.002103976031078053,0.001143299467725495
2024-05-02,493.0310974121094,492.73217146187795,0.009353469701108397,0.00727090984348215,-0.0020825598576262464
2024-05-03,499.1423645019531,498.17025876550144,0.012395297420226381,0.011036598823026487,-0.001358698597199894
2024-05-06,504.2969665527344,503.43270244551474,0.010326917563738602,0.010563544465809599,0.00023662690207099622
2024-05-07,504.8533630371094,503.8578617142583,0.0011033111862210898,0.0008445205618910582,-0.00025879062433003164
2024-05-08,504.9021911621094,503.94451654667114,9.671744030037566e-05,0.00017198269392486732,7.526525362449167e-05
2024-05-09,507.8114013671875,506.4160034941977,0.005761928262545624,0.004904283837559524,-0.0008576444249860996
2024-05-10,508.465576171875,507.612809342043,0.0012882239408691376,0.002363285993308908,0.0010750620524397703
2024-05-13,508.5337829589844,508.16907840193056,0.0001341423889948956,0.001095853078665572,0.0009617106896706764
2024-05-14,510.8670654296875,510.58589334169307,0.0045882546035123095,0.004755926801691283,0.00016767219817897389
2024-05-15,517.1930541992188,517.5984853915878,0.012382847119358775,0.013734402264814965,0.0013515551454561896
2024-05-16,516.1289672851562,516.8521774896827,-0.0020574269229312048,-0.001441866471731517,0.0006155604511996879
2024-05-17,516.8709106445312,517.1482821897029,0.0014375154397507917,0.0005729001693640945,-0.0008646152703866972
2024-05-20,517.4664306640625,518.0054811483946,0.001152163929652561,0.0016575496587983133,0.0005053857291457524
2024-05-21,518.735595703125,518.7705411739623,0.002452651928423144,0.0014769342283244798,-0.0009757177000986642
2024-05-22,517.241943359375,517.8339502752544,-0.0028794097727675716,-0.0018054049418235016,0.00107400483094407
2024-05-23,513.4638061523438,514.0713277557342,-0.007304390634860436,-0.0072660792470641096,3.8311387796326375e-05
2024-05-24,516.8611450195312,517.4149955287478,0.006616510894206007,0.006504287620184872,-0.00011222327402113461
2024-05-28,517.222412109375,517.4322406303737,0.0006989635288412455,3.3329342549039554e-05,-0.0006656341862922059
2024-05-29,513.6005249023438,514.5632338827344,-0.007002572050697098,-0.005544700392353123,0.0014578716583439752
2024-05-30,510.1934509277344,511.10944005109764,-0.00663370423006715,-0.006712088241469379,-7.83840114022289e-05
2024-05-31,514.8402709960938,515.568422475861,0.009107957109033116,0.008724124571671939,-0.000383832537361177
2024-06-03,515.2601928710938,515.8348707085619,0.0008156352536050626,0.0005168047946406762,-0.0002988304589643864
2024-06-04,515.8361206054688,516.7662582864148,0.0011177415650254208,0.0018055925078765058,0.000687850942851085
2024-06-05,521.9668579101562,523.1673102818207,0.011885048486894423,0.01238674525041897,0.0005016967635245468
2024-06-06,521.9571533203125,523.4476543830656,-1.8592348722257235e-05,0.0005358593622638118,0.000554451710986069
2024-06-07,521.3226318359375,523.112110239809,-0.0012156581825512047,-0.0006410271217128737,0.000574631060838331
2024-06-10,522.9332885742188,526.0273000010874,0.003089558442166629,0.005572782017877384,0.002483223575710755
